,Round,Pick,Overall,Team,Player,Position,Year,overall_pick,pick_points
0,1.0,1.0,2018-1,BUF,Rasmus Dahlin,D,2018,1,216
1,1.0,2.0,2018-2,CAR,Andrei Svechnikov,F,2018,2,215
2,1.0,3.0,2018-3,MTL,Jesperi Kotkaniemi,F,2018,3,214
3,1.0,4.0,2018-4,OTT,Brady Tkachuk,F,2018,4,213
4,1.0,5.0,2018-5,ARI,Barrett Hayton,F,2018,5,212
5,1.0,6.0,2018-6,DET,Filip Zadina,F,2018,6,211
6,1.0,7.0,2018-7,VAN,Quintin Hughes,D,2018,7,210
7,1.0,8.0,2018-8,CHI,Adam Boqvist,D,2018,8,209
8,1.0,9.0,2018-9,NYR,Vitali Kravtsov,F,2018,9,208
9,1.0,10.0,2018-10,EDM,Evan Bouchard,D,2018,10,207
10,1.0,11.0,2018-11,NYI,Oliver Wahlstrom,F,2018,11,206
11,1.0,12.0,2018-12,NYI,Noah Dobson,D,2018,12,205
12,1.0,13.0,2018-13,DAL,Ty Dellandrea,F,2018,13,204
13,1.0,14.0,2018-14,PHI,Joel Farabee,F,2018,14,203
14,1.0,15.0,2018-15,FLA,Grigori Denisenko,F,2018,15,202
15,1.0,16.0,2018-16,COL,Martin Kaut,F,2018,16,201
16,1.0,17.0,2018-17,NJD,Ty Smith,D,2018,17,200
17,1.0,18.0,2018-18,CBJ,Liam Foudy,F,2018,18,199
18,1.0,19.0,2018-19,PHI,Jay O'Brien,F,2018,19,198
19,1.0,20.0,2018-20,LAK,Rasmus Kupari,F,2018,20,197
20,1.0,21.0,2018-21,SJS,Ryan Merkley,D,2018,21,196
21,1.0,22.0,2018-22,NYR,K'Andre Miller,D,2018,22,195
22,1.0,23.0,2018-23,ANA,Isac Lundestrom,F,2018,23,194
23,1.0,24.0,2018-24,MIN,Filip Johansson,D,2018,24,193
24,1.0,25.0,2018-25,STL,Dominik Bokk,F,2018,25,192
25,1.0,26.0,2018-26,OTT,Jacob Bernard-Docker,D,2018,26,191
26,1.0,27.0,2018-27,CHI,Nicolas Beaudin,D,2018,27,190
27,1.0,28.0,2018-28,NYR,Nils Lundkvist,D,2018,28,189
28,1.0,29.0,2018-29,TOR,Rasmus Sandin,D,2018,29,188
29,1.0,30.0,2018-30,DET,Joseph Veleno,F,2018,30,187
30,1.0,31.0,2018-31,WSH,Alexander Alexeyev,D,2018,31,186
31,1.0,1.0,2017-1,NJD,Nico Hischier,F,2017,1,216
32,1.0,2.0,2017-2,PHI,Nolan Patrick,F,2017,2,215
33,1.0,3.0,2017-3,DAL,Miro Heiskanen,D,2017,3,214
34,1.0,4.0,2017-4,COL,Cale Makar,D,2017,4,213
35,1.0,5.0,2017-5,VAN,Elias Pettersson,F,2017,5,212
36,1.0,6.0,2017-6,VGK,Cody Glass,F,2017,6,211
37,1.0,7.0,2017-7,NYR,Lias Andersson,F,2017,7,210
