,Year,Team,GP,W,L,year_diff,wins_change
232,2007,ANA,82,48,20,,
267,2008,ANA,82,47,27,1.0,-0.02083333333333337
313,2009,ANA,82,42,33,1.0,-0.1063829787234043
345,2010,ANA,82,39,32,1.0,-0.0714285714285714
372,2011,ANA,82,47,30,1.0,0.20512820512820507
419,2012,ANA,82,34,36,1.0,-0.276595744680851
430,2013,ANA,48,30,12,1.0,-0.11764705882352944
462,2014,ANA,82,54,20,1.0,0.8
497,2015,ANA,82,51,24,1.0,-0.05555555555555558
531,2016,ANA,82,46,25,1.0,-0.0980392156862745
565,2017,ANA,82,46,23,1.0,0.0
600,2018,ANA,82,44,25,1.0,-0.04347826086956519
653,2019,ANA,57,22,26,1.0,-0.5
522,2015,ARI,82,24,50,-4.0,0.09090909090909083
550,2016,ARI,82,35,39,1.0,0.45833333333333326
586,2017,ARI,82,30,42,1.0,-0.1428571428571429
621,2018,ARI,82,29,41,1.0,-0.033333333333333326
650,2019,ARI,56,25,26,1.0,-0.13793103448275867
77,1973,AFM,78,25,38,-46.0,0.0
114,1975,AFM,80,34,31,2.0,0.3600000000000001
133,1976,AFM,80,35,33,1.0,0.02941176470588225
154,1977,AFM,80,34,34,1.0,-0.02857142857142858
173,1978,AFM,80,34,27,1.0,0.0
216,1980,AFM,80,35,32,2.0,0.02941176470588225
59,2000,ATL,82,14,57,20.0,-0.6
90,2001,ATL,82,23,45,1.0,0.6428571428571428
125,2002,ATL,82,19,47,1.0,-0.17391304347826086
152,2003,ATL,82,31,39,1.0,0.631578947368421
182,2004,ATL,82,33,37,1.0,0.06451612903225801
215,2006,ATL,82,41,33,2.0,0.24242424242424243
241,2007,ATL,82,43,28,1.0,0.04878048780487809
290,2008,ATL,82,34,40,1.0,-0.2093023255813954
322,2009,ATL,82,35,41,1.0,0.02941176470588225
351,2010,ATL,82,35,34,1.0,0.0
386,2011,ATL,82,34,36,1.0,-0.02857142857142858
3,1969,BOS,76,42,18,-42.0,0.23529411764705888
17,1970,BOS,76,40,17,1.0,-0.04761904761904767
32,1971,BOS,78,57,14,1.0,0.42500000000000004
49,1972,BOS,78,54,13,1.0,-0.052631578947368474
67,1973,BOS,78,51,22,1.0,-0.05555555555555558
85,1974,BOS,78,52,17,1.0,0.019607843137254832
108,1975,BOS,80,40,26,1.0,-0.23076923076923073
127,1976,BOS,80,48,15,1.0,0.19999999999999996
148,1977,BOS,80,49,23,1.0,0.02083333333333326
168,1978,BOS,80,51,18,1.0,0.04081632653061229
190,1979,BOS,80,43,23,1.0,-0.1568627450980392
211,1980,BOS,80,46,21,1.0,0.06976744186046502
239,1981,BOS,80,37,30,1.0,-0.19565217391304346
259,1982,BOS,80,43,27,1.0,0.16216216216216206
280,1983,BOS,80,50,20,1.0,0.16279069767441867
305,1984,BOS,80,49,25,1.0,-0.020000000000000018
339,1985,BOS,80,36,34,1.0,-0.26530612244897955
383,1987,BOS,80,39,34,2.0,0.08333333333333326
403,1988,BOS,80,44,30,1.0,0.1282051282051282
428,1989,BOS,80,37,29,1.0,-0.15909090909090906
448,1990,BOS,80,46,25,1.0,0.2432432432432432
475,1991,BOS,80,44,24,1.0,-0.04347826086956519
504,1992,BOS,80,36,32,1.0,-0.18181818181818177
522,1993,BOS,84,51,26,1.0,0.41666666666666674
553,1994,BOS,84,42,29,1.0,-0.17647058823529416
582,1995,BOS,48,27,18,1.0,-0.3571428571428571
613,1996,BOS,82,40,31,1.0,0.4814814814814814
660,1997,BOS,82,26,47,1.0,-0.35
672,1998,BOS,82,39,30,1.0,0.5
9,1999,BOS,82,39,30,1.0,0.0
54,2000,BOS,82,24,33,1.0,-0.3846153846153846
80,2001,BOS,82,36,30,1.0,0.5
97,2002,BOS,82,43,24,1.0,0.19444444444444442
165,2004,BOS,82,41,19,2.0,-0.046511627906976716
222,2006,BOS,82,29,37,2.0,-0.29268292682926833
252,2007,BOS,82,35,41,1.0,0.2068965517241379
275,2008,BOS,82,41,29,1.0,0.17142857142857149
297,2009,BOS,82,53,19,1.0,0.29268292682926833
342,2010,BOS,82,39,30,1.0,-0.26415094339622647
369,2011,BOS,82,46,25,1.0,0.17948717948717952
403,2012,BOS,82,49,29,1.0,0.0652173913043479
432,2013,BOS,48,28,14,1.0,-0.4285714285714286
461,2014,BOS,82,54,19,1.0,0.9285714285714286
